simetride	Simetrid
data collection project	Datenerfassungsvorhaben
gatifloxacin	Gatifloxacin
differential regulator	selektiver Regulator
user	Verlader
immunological phenotyping	immunologische Phänotypisierung
immunophenotyping	immunologische Phänotypisierung
immunomodulation	Immunmodulation
result of determination	Ermittlungsergebnis
Mendelian character	mendelndes Merkmal
record of clinical observations	klinischer Beobachtungsbogen
sulphate anion	Sulfatanion
Pels-Leusden method	Pels-Leusden-Methode
FEF<sub>25-75</sub>	FEF25-75 Atemstromstärke im Mittelteil|mittlerer forcierter exspiratorischer Fluß|MMEF|MMEFR|MMF|forcierter Atemstrom im Mittelteil der Ausatmung|forcierter mittlerer Atemstrom|maximale mittelexspiratorische Atemstromstärke|maximaler mittelexspiratorischer Fluß über der mittleren Hälfte der Vitalkapazität
MMEF	FEF25-75 Atemstromstärke im Mittelteil|mittlerer forcierter exspiratorischer Fluß|MMEF|MMEFR|MMF|forcierter Atemstrom im Mittelteil der Ausatmung|forcierter mittlerer Atemstrom|maximale mittelexspiratorische Atemstromstärke|maximaler mittelexspiratorischer Fluß über der mittleren Hälfte der Vitalkapazität
forced expiratory flow at 25–75% of forced vital capacity	FEF25-75 Atemstromstärke im Mittelteil|mittlerer forcierter exspiratorischer Fluß|MMEF|MMEFR|MMF|forcierter Atemstrom im Mittelteil der Ausatmung|forcierter mittlerer Atemstrom|maximale mittelexspiratorische Atemstromstärke|maximaler mittelexspiratorischer Fluß über der mittleren Hälfte der Vitalkapazität
maximum mid-expiratory flow	FEF25-75 Atemstromstärke im Mittelteil|mittlerer forcierter exspiratorischer Fluß|MMEF|MMEFR|MMF|forcierter Atemstrom im Mittelteil der Ausatmung|forcierter mittlerer Atemstrom|maximale mittelexspiratorische Atemstromstärke|maximaler mittelexspiratorischer Fluß über der mittleren Hälfte der Vitalkapazität
FEF<sub>25–75%</sub>	FEF25-75 Atemstromstärke im Mittelteil|mittlerer forcierter exspiratorischer Fluß|MMEF|MMEFR|MMF|forcierter Atemstrom im Mittelteil der Ausatmung|forcierter mittlerer Atemstrom|maximale mittelexspiratorische Atemstromstärke|maximaler mittelexspiratorischer Fluß über der mittleren Hälfte der Vitalkapazität
mutation rate	Mutationsrate
Public Health Committee of the Partial Agreement in the Social and Public Health Field (PHC (partial agreement))	Gesundheitskomitee des Teilabkommens im Bereich Soziales und öffentliche Gesundheit|Ausschuss für öffentliche Gesundheit des Teilabkommens im Sozial- und öffentlichen Gesundheitsbereich
drug for long-term use	Arzneimittel für Langzeitanwendung
transfer fee	Übertragungsgebühr
capacity	Fähigkeit|Umfang
cortical retina	corticale Netzhaut
transfusion-infusion device	Übertragungsgerät
informosome	Informosom
Recrudescence	Wiederausbruch|Reaktivierung
veterinary document	Veterinärdokument
catheter plug	Verschlussstück für Sonde
pathological feature	pathologisches Erscheinungsbild
transmission group	Übertragungsgruppe
subcutaneous	subkutan|s.k.|s.c.
sc,s.c.	subkutan|s.k.|s.c.
uncontrolled variable	unkontrollierte Variable
sound insulation	Schallschutz
protection against noise	Schallschutz
bucolome	Bucolom
Perthes operation	Perthes-Operation
hookworm	Hakenwurm
encounter	Begegnung|Treffen
methyldihydromorphine	Methyldihydromorphin
modulatory neuron	modulatorisches Neuron
bacterial population	Bakterienpopulation
physical decontamination	physikalische Dekontamination
stenosis of the rectum	Mastdarmverschluss
levdobutamine	Levdobutamin
rispenzepine	Rispenzepin
chisel	Schere
consignment of embryos	Embryonensendung
natural selection	natürliche Zuchtwahl|natürliche Selektion|natürliche Auslese
malignancy	Malignität|Bösartigkeit
spinning	Rotieren|Drehen
isostatic	Isostatic
mirror for medical or dental purposes	Spiegel zu medizinischen oder zahnaerztlichen Zwecken
onset of the first symptoms	Auftreten der ersten Symptome
latency	Latenzperiode|Latenzphase
sugaring	Zuckern
exceedance level	Ueberschreitungspegel
gavestinel	Gavestinel
pneumoperitoneum	Bauchemphysem|Pneumoperitoneum
catabolite repression	Katabolitrepression
European Network of Paediatric Research at the European Medicines Agency	Europäisches Netzwerk für die pädiatrische Forschung der EMA|Enpr-EMA
European Network of Paediatric Research at the EMA	Europäisches Netzwerk für die pädiatrische Forschung der EMA|Enpr-EMA
Enpr-EMA	Europäisches Netzwerk für die pädiatrische Forschung der EMA|Enpr-EMA
organ absorbed dose	Organdosis
contagious agalactica	infektiöse Agalaktie
contagious agalactosis	infektiöse Agalaktie
destructive photo-dynamic effect	destruktive photodynamische Auswirkung
cohoba powder	Cohobapulver
advance purchase commitment	Abnahmegarantie für Impfstoffe
advance market commitment	Abnahmegarantie für Impfstoffe
APC	Abnahmegarantie für Impfstoffe
AMC	Abnahmegarantie für Impfstoffe
ablation	Amputatio|Amputation|Ablatio|Absetzen
pelvospondylitis	Pelvispondylitis
bakeprofen	Bakeprofen
annual ring	Zuwachsring
rehabilitation technology network	Netz von Reha-Technologiezentren
scoliosis	seitliche Wirbelsäulenverkrümmung|Skoliose
sagittal axis	Sagittalebene
ethical pluralism	ethischer Pluralismus
talisomycin	Talisomycin
walker	Gehbank|Gehbock|Gehwagen
Zimmer frame	Gehbank|Gehbock|Gehwagen
Zimmer	Gehbank|Gehbock|Gehwagen
walking frame	Gehbank|Gehbock|Gehwagen
spécifique deficiency	Mangelerscheinung
Coordination group for Mutual recognition and Decentralised procedures - Veterinary	Koordinierungsgruppe für das Verfahren der gegenseitigen Anerkennung und das dezentralisierte Verfahren - Tierarzneimittel
CMDv	Koordinierungsgruppe für das Verfahren der gegenseitigen Anerkennung und das dezentralisierte Verfahren - Tierarzneimittel
hereditary make-up	Erbeigenschaften|Erbanlagen
inherited characteristics	Erbeigenschaften|Erbanlagen
gynaecological syringe	gynaekologische Spritze
bromadoline	Bromadolin
microbiology laboratory	Labor für klinische Mikrobiologie
diagnostic microbiology laboratory	Labor für klinische Mikrobiologie
clinical microbiology laboratory	Labor für klinische Mikrobiologie
ulcerative colitis	geschwürige Proktokolitis
sterilisation process	Sterilisierungsprozess
therapeutic protocol	Therapieplan|Therapieprotokoll
Rinne's test	Rinne-Versuch
rhesus factor	Rhesusfaktor
average sound absorption coefficient	mittlerer Schallabsorptionsgrad
rat-tail file	Rattenschwanzfeile
transplant of adrenal medulla	Knochenmarktransplantation
enterobacteriaceae	Enterobakterie
cervical cytology	Untersuchung des Zervixschleims
mirisetron	Mirisetron
lown-gannong-lewine syndrome	Lown-Gannong-Lewine|LGL
LGL	Lown-Gannong-Lewine|LGL
butibufen	Butibufen
salacetamide	Salacetamid
tiospirone	Tiospiron
cell-surface marker	Oberflächenmarker
moderator variable	moderierende Variable
eritrityl tetranitrate	Eritrityltetranitrat
thermal effect	Thermaleffekt
thermal exposure	Thermaleffekt
carcinoma of gall bladder wall	Gallenblasenkarzinom
stratified data	geschichtete Daten
metamorphopsia	Weizäcker-Syndrom|Metamorphopsie
breast cancer	Brustkrebs|Mammakarzinom
microbiology	Mikrobiologie
silperisone	Silperison
fixation	Fixierung|Fixation
nomifensine	Nomifensin
room constant	Raumkonstante
hearing tube	Hoerrohr
hearing trumpet	Hoerrohr
parietal cortex	Parietalkortex
mutation breeding	Mutationszüchtung
transfer of iron from the plasma pool to the labile bone marrow pool	aktiver Umsatz des Eisens aus dem Plasmapool in den labilen Knochenmarkpool
diagnostic test	Diagnosetest
diagnostic	Diagnosetest
sedation	Sedation|Sedierung
null cell	Null-Lymphozyt
antiseptic solution	antiseptische Loesung
image quality assessment	Bildgütebestimmung
image quality evaluation	Bildgütebestimmung
monaural	monaural
surgical truss maker	Bandagist
exposure dose	Strahlenbelastung
service corridor	Personalflur
pethidine	Pethidin
dienestrol	Dienestrol
Pap test	Zervixschleim|gynäkologische Untersuchung|Pap-Abstrich|Gebärmutterhalsabstrich|Zervixabstrich
Papanicolau smear	Zervixschleim|gynäkologische Untersuchung|Pap-Abstrich|Gebärmutterhalsabstrich|Zervixabstrich
cervical smear	Zervixschleim|gynäkologische Untersuchung|Pap-Abstrich|Gebärmutterhalsabstrich|Zervixabstrich
Papanicolaou test	Zervixschleim|gynäkologische Untersuchung|Pap-Abstrich|Gebärmutterhalsabstrich|Zervixabstrich
Pap smear	Zervixschleim|gynäkologische Untersuchung|Pap-Abstrich|Gebärmutterhalsabstrich|Zervixabstrich
transportation handicapped	ÖPNV-Benachteiligte|Benachteiligte im öffentlichen Personennahverkehr|Behinderte
nelzarabine	Nelzarabin
forging of prescriptions	Rezeptfälschung
HERA Incubator	Europäischer Plan zur Vorsorge gegen biologische Gefahren im Zusammenhang mit COVID-19-Varianten|HERA-Inkubator
European bio-defence preparedness plan against COVID-19 variants	Europäischer Plan zur Vorsorge gegen biologische Gefahren im Zusammenhang mit COVID-19-Varianten|HERA-Inkubator
aggregated virus	zusammengeballtes Virus
metazamide	Metazamid
average dose	average dose
somatropin	Somatropin
pustule	Pustel|Pustula|Eiterblase|Eiterbläschen
fixed dose level	feste Dosierung|feste Dosis
prekiller T lymphocyte	Prä-Killer-Lymphocyt
data dredging	Baggern in den Daten
container with perforated or flexible bottom	Container mit nachgebendem oder perforiertem Boden
blastulation	Blastulation
precursor	Vorläuferstoff|Drogenausgangsstoff|Drogengrundstoff
drug precursor	Vorläuferstoff|Drogenausgangsstoff|Drogengrundstoff
cholangiography	Cholangiographie
norgestimate	Norgestimat
calcium ion	Calcium-Ion|Kalziumion
isodose contour	Isodosenkurve
isodose curve	Isodosenkurve
neonatal hypoglycaemia	Neugeborenenhypoglykämie
neural machinery in schizophrenia	neurale Maschinerie,die bei Schizophrenien fehlläuft
local dose	Ortsdosis
vascular cell	vaskuläre Zelle
sign of cocaine being used	Hinweis auf einen Kokainverbrauch
single or multiple ring-enhancing lesions	vereinzelte oder multiple hyperdense ringförmige Läsionen
almasilate	Almasilat
thanatology	Thanatologie
open sector cyclotron	Zyklotron mit sektoriellem Aufbau
nafcillin	Nafcillin
confabulation	confabulation
demegestone	Demegeston
BSB	Gehirnzustand in einer Schachtel
brain state in a box	Gehirnzustand in einer Schachtel
brucella agglutination	Brucella-Agglutination
synaptic	synaptisch
roflumilast	Roflumilast
health solidarity fund	Solidaritätsfonds zu Gesundheitszwecken
mobile laboratory	Feldlaboratorium
genetic marker	genetischer Marker|genetische Markierung|genetische Markierungseigenschaft
papain	Papain
sensitivity of a strain isolated	Sensibilität eines isolierten Stammes
somatosalm	Somatosalm
healthcare institution	Heilanstalt|Kranken- und Kuranstalt
medical institution	Heilanstalt|Kranken- und Kuranstalt
hospital	Heilanstalt|Kranken- und Kuranstalt
spore-forming bacteria	Sporen bildende Bakterie
environmental safety requirements	Umweltschutzauflagen
acromioclavicular joint	Akromioklavikulargelenk|Schultereckgelenk|Articulatic acromioclavicularis|Articulus acromioclavicularis
AC joint	Akromioklavikulargelenk|Schultereckgelenk|Articulatic acromioclavicularis|Articulus acromioclavicularis
day hospital	Tagesklinik
proprioception	Propriozeption
saccharin	Saccharin|E 954 i
E 954 i	Saccharin|E 954 i
blood-transfusion recipient	Empfänger von Bluttransfusionen
low fecundity strain	Tierstamm mit geringer Fruchtbarkeit
arsthinol	Arsthinol
incubator capacity	Brutkapazität
ketimipramine	Ketimipramin
cilmostim	Cilmostim
DMT	DMT|Dimethyltryptamin
dimethyltryptamine	DMT|Dimethyltryptamin
primary generalised epilepsy	idiopathische generalisierte Epilepsie|primäre generalisierte Epilepsie
PGE	idiopathische generalisierte Epilepsie|primäre generalisierte Epilepsie
idiopathic generalised epilepsy	idiopathische generalisierte Epilepsie|primäre generalisierte Epilepsie
idiopathic generalised epilepsies	idiopathische generalisierte Epilepsie|primäre generalisierte Epilepsie
IGE	idiopathische generalisierte Epilepsie|primäre generalisierte Epilepsie
fermented fish product	vergorenes Fischerzeugnis
survival rate	Überlebensrate
medical representative	Ärztevertreter
cicloxolone	Cicloxolon
acute respiratory disease	akute respiratorische Insuffizienz|ARI|akute respiratorische Erkrankung|ARE
ARD	akute respiratorische Insuffizienz|ARI|akute respiratorische Erkrankung|ARE
antispasmodic	Antispasmodikum|Antikrampfmittel|krampflösendes Mittel
anticonvulsant	Antispasmodikum|Antikrampfmittel|krampflösendes Mittel
tetriprofen	Tetriprofen
lampbrush chromosome	Riesenchromosom
hepatosplenomegaly	Hepato-Splenomegalie
foetal habitus	Haltung|Habitus|Fruchthaltung
fetal habitus	Haltung|Habitus|Fruchthaltung
safety assessing Member State	die Sicherheit bewertender Mitgliedstaat
formant frequency	Formant-Frequenz
longitudinal axis of foetus	Fruchtachse
longitudinal axis of fetus	Fruchtachse
health certificate	Gesundheitsbescheinigung
manner and date of removal of the embryo	Art und Zeitpunkt der Embryo-Entnahme
embodiment of symbols in the brain	neurale Verkörperung der Symbole
bed requirements	Bettenbedarf
brallobarbital	Brallobarbital
World No Tobacco Day	Weltnichtrauchertag
World No-Smoking Day	Weltnichtrauchertag
sinusoid	Sinusoid
time-place cluster	zeitliche und regionale Cluster
Piperonyl Methyl Ketone	Piperonylmethylketon
PMK	Piperonylmethylketon
health education	Gesundheitserziehung
healthcare provider	Erbringer von Gesundheitsleistungen
health care provider	Erbringer von Gesundheitsleistungen
care provider	Erbringer von Gesundheitsleistungen
dimethylsulphoxide	Dimethylsulfoxid|DMSO|Dimethyli sulfoxidum|Dimethylsulfoxyd
DMSO	Dimethylsulfoxid|DMSO|Dimethyli sulfoxidum|Dimethylsulfoxyd
dimethyl sulfoxide	Dimethylsulfoxid|DMSO|Dimethyli sulfoxidum|Dimethylsulfoxyd
trans configuration	trans-Konfiguration
erythrodermia desquamativa neonatorum	Leiner-Moussous Krankheit|Dermatitis desquamativa sive exfoliativa Leiner|Leiner Dermatitis|Erythrodermia desquamativa neonatorum Leiner-Moussous
erythrodermia desquamativa neonatorum Leiner-Moussous	Leiner-Moussous Krankheit|Dermatitis desquamativa sive exfoliativa Leiner|Leiner Dermatitis|Erythrodermia desquamativa neonatorum Leiner-Moussous
AIDS sufferer	Aidskranker
intentionally added microplastics	bewusst zugesetztes Mikroplastik
erectile nerve	Erektionsnerv
saturated chloroform-air compound	gesättigte Chloroform-Luft-Verbindung
massive progressive pneumoconiosis	massive progressive Pneumokoniose
sclerotomic fissure	Intrasegmentalspalte
germination temperature	Keimtemperatur
aitch bone	Beckensymphyse
symphysis pubis	Beckensymphyse
bamifylline	Bamifyllin
pulmonary tuberculosis	Tuberkulose der Atmungsorgane|Lungentuberkulose|Lungentuberculose
reeducation of hearing	Reedukation des Gehörs|Hörtraining|Hörerziehung|Hörunterricht
auditory training	Reedukation des Gehörs|Hörtraining|Hörerziehung|Hörunterricht
self-employed driver	selbstfahrender Transportunternehmer
lymphoid cells	Lymphozyt
penirolol	Penirolol
identity crisis	Identitätskrise
zolimomab aritox	Zolimomabaritox
fibrin, human	Fibrin, menschlich
passive filter	passiver Filter
meningeal involvement	Beteiligung von Meningen
Sturge-Weber-Krabbe syndrome	Sturge-Weber-Syndrom|Sturge-Weber-Krabbe-Syndrom|encephalotrigeminale Angiomatose|meningofaciale Angiomatose
Sturge-Weber syndrome	Sturge-Weber-Syndrom|Sturge-Weber-Krabbe-Syndrom|encephalotrigeminale Angiomatose|meningofaciale Angiomatose
encephalotrigeminal angiomatosis	Sturge-Weber-Syndrom|Sturge-Weber-Krabbe-Syndrom|encephalotrigeminale Angiomatose|meningofaciale Angiomatose
ferrocene-lidocaine complex	Ferrocen-Lidocain-Komplex
euchromatic	euchromatisch
ventilation-perfusion ratio inequality	Verteilungsungleichheiten des Ventilations-Perfusions-Quotienten
beta-2-microglobulin	Beta-2-Mikroglobulin
cericlamine	Cericlamin
nVCJD	neue Variante der Creutzfeldt-Jakob-Krankheit
new variant Creutzfeldt-Jacob disease	neue Variante der Creutzfeldt-Jakob-Krankheit
new variant of Creutzfeldt-Jacob disease	neue Variante der Creutzfeldt-Jakob-Krankheit
nvCJ	neue Variante der Creutzfeldt-Jakob-Krankheit
flumizole	Flumizol
bacteriology laboratory	Laboratorium fuer Bakteriologie
notification system	Mitteilungssystem
Survival analysis	Analyse von Überlebensraten
multidose product	Produkt für die Mehrfachanwendung
non-compartmental analysis	nicht-fachspezifische Analyse
tissue resistance	Gewebewiderstand|Reibungswiderstände(von Lunge und Thorax)
PAF	Blutplättchen aktivierender Faktor|Blutplättchen-Aktivierungsfaktor
platelet-activating factor	Blutplättchen aktivierender Faktor|Blutplättchen-Aktivierungsfaktor
hormone receptor	Hormonrezeptor|Hormon-Rezeptorprotein
hormonal receptor	Hormonrezeptor|Hormon-Rezeptorprotein
TI	therapeutische Breite
therapeutic index	therapeutische Breite
study summary	Studienzusammenfassung
immaturity	Unreife
orbital varix	Venektasie|Phlebektasie
Hertig-Rock ovum	Hertig-Rock Ei
intellectual development	geistige Entwicklung|intellektuelle Entwicklung
Common Technical Dossier	Common Technical Dossier
microbiological quality	mikrobiologische Qualität
safingol	Safingol
basic number	Basiszahl
physiological response	physiologische Reaktion
trichinosis	Trichinose
area of low pest or disease prevalence	Gebiet mit geringem Auftreten von Schädlingen oder Krankheiten
generalised actinobacillosis or actinomycosis	generalisierte Aktinobazillose oder Aktinomykose
diproteverine	Diproteverin
behaviour	Verhalten
uridine diphospho-glucose	Uridindiphosphatglucose|UDPG
UDPG	Uridindiphosphatglucose|UDPG
dried plasma	Trockenplasma|Trockenblutplasma
asbestos-related disease	asbestbedingte Krankheit
European health strategy	Europäische gesundheitspolitische Strategie|EU-Gesundheitsstrategie
EU Health Strategy	Europäische gesundheitspolitische Strategie|EU-Gesundheitsstrategie
shortness of memory	kurzes Gedaechtnis
GU	urogenital|urogenitalis
urogenital	urogenital|urogenitalis
genitourinary	urogenital|urogenitalis
albendazole oxide	Albendazoloxid
creative thinking	produktives Denken|schoepferisches Denken
inactivated fetal fibroblast	inaktivierte embryonale Fibroblaste
officially-approved isolation facility	zugelassene Isolierstation
Rabies virus	Lyssa-Virus|Tollwutvirus
Lyssa virus	Lyssa-Virus|Tollwutvirus
flupirtine	Flupirtin
PDT	PDT|photodynamische Therapie
photodynamic therapy	PDT|photodynamische Therapie
critical care	Intensivpflege|Intensivbehandlung|Intensivtherapie
intensive care	Intensivpflege|Intensivbehandlung|Intensivtherapie
European Food Fraud Network	Europäisches Netz zur Bekämpfung von Lebensmittelbetrug|Lebensmittelbetrug-Netz|Food-Fraud-Netzwerk
EU Food Fraud Network	Europäisches Netz zur Bekämpfung von Lebensmittelbetrug|Lebensmittelbetrug-Netz|Food-Fraud-Netzwerk
FFN	Europäisches Netz zur Bekämpfung von Lebensmittelbetrug|Lebensmittelbetrug-Netz|Food-Fraud-Netzwerk
Food Fraud Network	Europäisches Netz zur Bekämpfung von Lebensmittelbetrug|Lebensmittelbetrug-Netz|Food-Fraud-Netzwerk
specific migration testing	spezifische Migrationsprüfung
tone	Ton|reiner Ton
transmissible disease	transmissive Krankheit|Seuche
spiroplatin	Spiroplatin
niravoline	Niravolin
stercoroma	Sterkorom|Faekulom|Sterkoraltumor|Kotgeschwulst
stercoral tumour	Sterkorom|Faekulom|Sterkoraltumor|Kotgeschwulst
physiological saline	physiologische Kochsalzlösung
laryngophone	Kehlkopfmikrophon|Laryngophon|Kehlkopfmikrofon
throat microphone	Kehlkopfmikrophon|Laryngophon|Kehlkopfmikrofon
asphyxia	Asphyxie
framework directive concerning health and safety at work	Rahmenrichtlinie über Sicherheit und Gesundheitsschutz am Arbeitsplatz
bioconcentration factor	Biokonzentrationsfaktor|BCF
BCF	Biokonzentrationsfaktor|BCF
stannous chloride	Zinnchlorid|E512
E512	Zinnchlorid|E512
tin chloride	Zinnchlorid|E512
catastrophe theory	Katastrophentheorie
inhibitor	Hemmstoff
tissue imprints	Imprint-Zytologie
touch-prep method	Imprint-Zytologie
impression smears	Imprint-Zytologie
imprint cytology	Imprint-Zytologie
purpuric skin lesion	Purpura
purpuric rash	Purpura
purpura	Purpura
bulbar neuron	Neuron des Riechkolbens|Bulbus-Neuron
standard temperature and pressure,dry	STPD|Standardbedingungen
STPD	STPD|Standardbedingungen
recording telethermometer	Registrierfernthermometer
meloxicam	Meloxicam
antibiotic used in veterinary medicine	in der Veterinärmedizin verwendetes Antibiotikum
dental brush	Buerste fuer die Zahnheilkunde|Zahnbürste
degradation test	Abbaubarkeitstest
biological magnification factor	biologischer Amplifikationsfaktor
biological amplification factor	biologischer Amplifikationsfaktor
inefficient signaling by the neuron	das Neuron verschlechtert die Signalübertragung
clinical treatment	stationaere Behandlung
couveuse	Wärmekasten|Frühgeboreneninkubator|Brutkasten|Babytherm|Säuglingsinkubator|Couveuse|Wärmebettchen|Brut Kasten|Brutapparat fuer Neugeborene|Brutapparat|Inkubator|Frühgeborenenbox|Frühgeburtenbox
artificial incubator	Wärmekasten|Frühgeboreneninkubator|Brutkasten|Babytherm|Säuglingsinkubator|Couveuse|Wärmebettchen|Brut Kasten|Brutapparat fuer Neugeborene|Brutapparat|Inkubator|Frühgeborenenbox|Frühgeburtenbox
incubator for newborn	Wärmekasten|Frühgeboreneninkubator|Brutkasten|Babytherm|Säuglingsinkubator|Couveuse|Wärmebettchen|Brut Kasten|Brutapparat fuer Neugeborene|Brutapparat|Inkubator|Frühgeborenenbox|Frühgeburtenbox
breeding box for premature infants	Wärmekasten|Frühgeboreneninkubator|Brutkasten|Babytherm|Säuglingsinkubator|Couveuse|Wärmebettchen|Brut Kasten|Brutapparat fuer Neugeborene|Brutapparat|Inkubator|Frühgeborenenbox|Frühgeburtenbox
incubator	Wärmekasten|Frühgeboreneninkubator|Brutkasten|Babytherm|Säuglingsinkubator|Couveuse|Wärmebettchen|Brut Kasten|Brutapparat fuer Neugeborene|Brutapparat|Inkubator|Frühgeborenenbox|Frühgeburtenbox
neurotmesis	Neurotmesis
barbituric intoxication	Vergiftung durch Barbiturate
barbiturate intoxication	Vergiftung durch Barbiturate
sympatric	sympatrisch
endoreduplication	Endoreduplikation
cognitive functions	Erkenntnisvermögen
looch	Eklegma|Linctus|Lecksaft
linctus	Eklegma|Linctus|Lecksaft
waterproof clothing	Regenschutzkleidung
rainwear	Regenschutzkleidung
adenite	Adenitis|Drüsenentzündung|Lymphadenitis
adenitis	Adenitis|Drüsenentzündung|Lymphadenitis
Concerted Action Committee on Criteria for Perinatal Monitoring	Ausschuss zur Anpassung der Richtlinien an den (wissenschaftlichen und) technischen Fortschritt - Massstäbe für perinatale Überwachung|Perinatale Überwachung
Concerted Action Committee on Perinatal Monitoring	Ausschuss zur Anpassung der Richtlinien an den (wissenschaftlichen und) technischen Fortschritt - Massstäbe für perinatale Überwachung|Perinatale Überwachung
harmless virus	harmloser Virus
performance in creative efforts	schöpferische Fähigkeiten|Kreativität
creativity	schöpferische Fähigkeiten|Kreativität
heatstroke	Hitzschlag
heat stroke	Hitzschlag
alatrofloxacin	Alatrofloxacin
prokaryotic system	prokaryotisches System
symptom	Symptom
Lyon hypothesis	Lyon-Hypothese
Lyon's hypothesis	Lyon-Hypothese
reversible interferon-induced neutropenia	reversibel-durch Interferon hervorgerufene Neutropenie
gacyclidine	Gacyclidin
pipoctanone	Pipoctanon
resorcylic acid lactone	Resorcylsäure-Lacton
Staphylococcus	Staphylococcus|Staphylokokken
giant chromosome	Riesenchromosom|Polytänchromosom
polytene	Riesenchromosom|Polytänchromosom
directivity factor	Bündelungsgrad|Richtwirkungsfaktor
Fallopian tube	Salpinx|Tuba uterina|Cornu uteri|Tuba uterina Fallopii
uterine tube	Salpinx|Tuba uterina|Cornu uteri|Tuba uterina Fallopii
oviduct	Salpinx|Tuba uterina|Cornu uteri|Tuba uterina Fallopii
salpinx	Salpinx|Tuba uterina|Cornu uteri|Tuba uterina Fallopii
symbiotic parasites	Hilfsparasiten
hearing injury	Hörtrauma|akustisches Trauma
phonotrauma	Hörtrauma|akustisches Trauma
auditory trauma	Hörtrauma|akustisches Trauma
acoustic trauma	Hörtrauma|akustisches Trauma
serodiagnosis	Serodiagnostik
chemoattractant	chemischer Lockstoff|Entzündungsreiz
selective toxicity	selektive Toxizität
health protection threshold	Schwellenwert für den Gesundheitsschutz
butofilolol	Butofilolol
phenampromide	Phenampromid
peptide hydrolase	Peptidhydrolase
trachoma	ägyptische Augenkrankheit|Trachom|Ophthalmia militaris
granular conjunctivitis	ägyptische Augenkrankheit|Trachom|Ophthalmia militaris
Egyptian ophthalmia	ägyptische Augenkrankheit|Trachom|Ophthalmia militaris
granular ophthalmia	ägyptische Augenkrankheit|Trachom|Ophthalmia militaris
military ophthalmia	ägyptische Augenkrankheit|Trachom|Ophthalmia militaris
fume fever	Cadmium-Bronchopneumopathie
inicarone	Inicaron
herd declared officially free of tuberculosis	amtlich anerkannter tuberkulosefreier Rinderbestand
officially tuberculosis-free herd	amtlich anerkannter tuberkulosefreier Rinderbestand
curative intervention	kurativer Eingriff
gene mutation induced by chemical agents	chemisch induzierte Genmutation
orogenital intercourse	Oralverkehr
GI scintigraphy	Magenszintigraphie
gastrointestinal scintigraphy	Magenszintigraphie
arterivirus	Arterivirus
immunological medicinal product	immunologische Arzneimittel
CPM	Interimsausschuss für Pflanzenschutzmaßnahmen|Kommission für pflanzengesundheitliche Maßnahmen
Commission on Phytosanitary Measures	Interimsausschuss für Pflanzenschutzmaßnahmen|Kommission für pflanzengesundheitliche Maßnahmen
alloproteins	Alloproteine
dermatosclerosis	Sklerodermia|Skleroderma|Sklerodermie|Dermatosclerosis|Corionitis|Skleroderm|Dermatosklerose
scleroderma	Sklerodermia|Skleroderma|Sklerodermie|Dermatosclerosis|Corionitis|Skleroderm|Dermatosklerose
Sabia virus	Sabia-Virus
high-grade malignancy	hoher Malignitätsgrad
fault of accommodation	Akkommodationsfehler
before death	ante mortem
single	Einzelzimmer|Einbettzimmer
single room	Einzelzimmer|Einbettzimmer
air ducts	Entlüftungsleitungen
vents	Entlüftungsleitungen
RGD	zufallsbedingtes genetisches Derivat
random genetic drift	zufallsbedingtes genetisches Derivat
genetic drift	zufallsbedingtes genetisches Derivat
Sewall Wright effect	zufallsbedingtes genetisches Derivat
plant cell differentiation	Pflanzenzellendifferenzierung|Differenzierung pflanzlicher Zellen
horizontal health system	horizontales Gesundheitssystem
horizontal healthcare system	horizontales Gesundheitssystem
genotoxic property	genotoxische Eigenschaft
genetic dose limit	genetischer Dosisgrenzwert
prenatal care	pränatale Fürsorge
European Day of Healthy Food and Cooking	Europäischer Tag für gesunde Ernährung und gesundes Kochen
tissue mass	Gewebsmasse
alimentary bolus	Nahrungsbissen
lapinised virus	lapinisiertes Virus
chronic stimulation of cell proliferation	chronische Stimulation von Zellwachtstum
hallux	hallux|Hallux Digitus|Digitus pedis primus|große Zehe|Digitus pedis primus JNA
great toe	hallux|Hallux Digitus|Digitus pedis primus|große Zehe|Digitus pedis primus JNA
big toe	hallux|Hallux Digitus|Digitus pedis primus|große Zehe|Digitus pedis primus JNA
celiprolol	Celiprolol
pain reliever	schmerzstillendes Mittel|Analgetikum|Schmerzmittel|schmerzlösendes Mittel|schmerzlinderndes Mittel
analgesic	schmerzstillendes Mittel|Analgetikum|Schmerzmittel|schmerzlösendes Mittel|schmerzlinderndes Mittel
painkiller	schmerzstillendes Mittel|Analgetikum|Schmerzmittel|schmerzlösendes Mittel|schmerzlinderndes Mittel
exhalation	Ausatmung|Exhalation
expiration	Ausatmung|Exhalation
collection cup for semen	Auffangbecher für Sperma|Auffangglas für Sperma
Herpes simplex virus	HSV|Herpes-simplex-Virus|Herpesvirus hominis|Herpes simplex-Virus
parenteral	parenteral
pelvic	pelvius|pelvin
health institution	Gesundheitseinrichtung
health care costs	Gesundheitsausgaben
suture	Sutura|Sutur
sudismase	Sudismase
nicogrelate	Nicogrelat
Gleason score	Gleason-Wert
tamsulosin	Tamsulosin
menaquinone	Menachinon
octenidine	Octenidin
subclimax	Subklimax
Maximum likelihood estimate	Schätzer der größten Mutmaßlichkeit|Maximum-Likelihood-Schätzer
sudden death	plötzlicher Tod
